text;label
"So the action items: 1. canDelete(), canRead() and canWrite() will be moved to FileSystemView from FileObject.  ";
"Please review and close out if appropriate.";
"This issue has been fixed by the Harmony-5834.";
"The testcase is helpful for ArrayList.";
"Thanks very much for the contribution.";
"The fixing is available in all builds after r658561.";
"solved in subversion repository as of r818942.";
"patch applied with slight changes thanks for the report and thanks for the patch";
"Thanks for the patch Gustavo.";
"I applied to 0.95 and trunk.";
"I thought there was already a (Hibernate specific?)";
"Some property which points to a ""DDL file"".";
"It might have meant to create a DB schema, but perhaps you can just use it to do whatever migration activity that you are looking for? ";
"Please apply the attached patch by doing the following:  1.";
"Add the new file modules\java2wsdl\src\test\java\org\apache\tuscany\tools\java2wsdl\generate\ExampleService.java 2.";
"Apply the changes in patch1658 3.";
"Unzip ws-void-args-return under the itest directory 4.";
"Update the pom for itest to include ws-void-args-return  This patch fixes TUSCANY-1658 and TUSCANY-1653, and add an itest to verify the fix.";
"It also includes a corresponding change in java2wsdl to handle the two-way void return case correctly.";
"Applied patch.";
"Thanks!";
"+1, looks good. ";
"One final note, the error handling should have its own JIRA so that it is addressed one day?";
"Oh, and that wiki page for the shell is slightly formatted wrong by the looks, it changes to cursive/italics and stays until the end.";
"And the .irbrc sample output has no line breaks and makes it difficult to read it.";
"Fix race conditions in Balancer.";
"Contributed by Junping Du (szetszwo: http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1532932) * /hadoop/common/trunk/hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt * /hadoop/common/trunk/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/balancer/Balancer.java ";
"Applied the patch to implement Workspace.move";
"We pretty much already had the interface we wanted for this (IFixedLocationResourceStream).";
"I only needed to let MarkupResourceStream also implement it.";
"And then MarkupCache uses that interface to checkout what the actual file is  I dont think we will get IResourceStream implementation that are not File or URL and if we do then we fallback on the cachekey only approache.";
"It seems to work fine for me when i test locally, the markup is only created once per fixed location and then access through  cachekey -> locationstring -> markup  So if locationString doesn't work we get this:  cachekey -> cachekey -> markup  But i guess that is a very small percentage if there is even 1 on this planet...  should we include this into 1.3.2?";
"Thanks Tatyana - the third patch was applied to BTI branch 2.0 at r552655.";
"Please check that the patch was applied as you expected and close the issue if everything is OK for you.";
"Sebastian, as Sonar calls the cobertura maven plugin there is not much we can do.";
"Until the patch gets applied, you might want to use Emma as coverage engine with the Sonar Emma Plugin (or Clover, but it is free only for a month)";
"Hi Matt,  Encrypting the serialized component tree will not solve the problem of stale view state.";
"The Sun JSF-RI team have implemented a fix for this issue.";
"It will be available in 1.2_05.";
"See the following link for more info:  https://javaserverfaces.dev.java.net/issues/show_bug.cgi?id=612  Thanks, Ian";
"the configuration in the POM works fine with 2.4.3.";
"Patch applied on 2.1.x, 2.2.x and trunk";
"Just an update:  # SOLR-1131: aka poly fields is almost ready to go.";
"Please review.";
"# SOLR-1297: sort by function query just needs review and then can be committed.";
"After that, we can add in the Cartesian Tier indexing and the Cartesian Tier QParserPlugin (after a little re-write).";
"Then we need pseudo-fields and we likely  want to hook in a per request function cache (maybe)";
"Hi Suran,  The new catalogs_b.patch looks very good.";JOY
"It will need another round or two of adjusting but it is definitely looking solid.";
"I have applied the patch and am running regression tests now.";
"I will post my results when the tests finish.";
"I have some comments on the new patch:  PermDescriptor  o You should remove the permUUID field from this class since it shadows the oid field in the superclass.";
"In my experience, this kind of shadowing always causes bugs in the future because it is so easy to lose track of which copy of the redundant field is being used.";
"So the constructor for this class should call setUUID( permUUID ) rather than stuffing the shadowing field via ""this.permUUID = permUUID"".";
"o Once you do that, you can get rid of the getUUID(), setUUID(), and getObjectID() methods in this class.";
"o I have reservations about the second constructor for this class (the one which is used to create a key descriptor rather than a full-fledged permissions descriptor).";
"However, I see that you are following the data dictionary patterns for the other permissions descriptors.";
"I think you are right to follow the existing patterns.";
"But we should put a sticky note on our brains to remind ourselves to clean up this pattern in the future--partially initialized data is brittle.";
"This is something we can revisit when we collapse all of the permissions catalogs into the master catalog which you are creating.";
"Don't worry, that's another project and not part of the sequence generator work.";
"SYSSEQUENCESRowFactory  o I think that you should flip the order of the keys in the second index.";
"That is, the key order should be ( schemaID, sequenceName ) rather than ( sequenceName, schemaID ).";
"This will speed up the check in DataDictionaryImpl.isSchemaEmpty().";
"But maybe you have a use for an index with key order ( sequenceName, schemaID ) which I'm not seeing.";
"If so, then I would recommend adding a third index.";
"Note that if you swap the key order, then you will need to make a corresponding change to DataDictionaryImpl.getSequenceDescriptor(String, SchemaDescriptor)   o I think that buildColumnList() should return an array of 10 column descriptors, one for each column in the table.";
"See, for instance, the corresponding method in SYSALIASESRowFactory.";
"SYSROLESRowFactory  o As with SYSSEQUENCESRowFactory, I think that buildColumnList() should return a larger array, one cell for each column in the table.";
"DataDictionary  o The header comment for getPermDescriptor() does not seem to describe the method.";
"EmptyDictionary  o I think that you can remove the stub for dropSequenceDescriptor(String, TransactionController) because you have removed this method from the DataDictionary interface.";
"DataDictionaryImpl  o The header comments on getUncachedPermDescriptor() getPermDescriptor(), and dropAllPermDescriptors() look like they were copied from pre-existing methods, so they should be revised to describe the new methods.";
"Thanks, -Rick ";
"See previous comments for earlier commit.";
"This one fixes the end-date issue in the comment bean classes: URL: http://svn.apache.org/viewvc?rev=782269&view=rev  And that resolves this issue in the trunk.";
"Thanks Greg! ";
"Hey Chris,you just moved the files right?!";
"Vinicus patch only includes a single file (the failing junit), all Uwe need to do is to apply the patch to the moved file, is that correct?";
"Also applies to the 4.x series";
"The behaviour still occurs in the last snapshot using both Mojarra 2.1 or MyFaces.";
"Attribute 'width' works fine.";
"Nice feature, lars!!";JOY
"Would be nice to have a batch/list functionality as well, like we have for deletes/puts.";
"Are there any (future?)";
"plans to have a multi- version of the atomicMutation?";
"It looks like the problem originates in PDFBOX-11.";
"Many CID mappings are expressed as ranges, which the code explodes into individual Integer->String pairs.";
"This causes pretty big data structures as many of our CMaps cover 65k possible mappings!";
"We should use a more efficient in-memory representation for such range mappings.";
"In the same pc I have a outlook client and It work fine, the problem is with xplanner, how can I  configurate xplanner for send mails ?";
"Thanks";
"ok, I'm looking into this.";
"Okay reviewed and tested patch with sqlite3 and bdb on trunk.";
"One minor correction to configure without sqlite3.";
"#NAME?";
"Have a look at hibernate.common.xml";
"Hi David,  This helps me understand what you were talking about - thanks!";
"(Things weren't as clear at 2am ;))    Yes, we should probably definitely be removing the ThreadLocal entirely.";
"I'll make those changes as soon as I can.";
"#NAME?";
"Patch applied in trunk.";
"I have added some buttons to help put variables and patterns.";
"Thank you for your contribution.";
"applies to trunk, too";
"Also #3 seems to be fairly simple with a single ""around"" advice in aspectj and a couple of lines for ajc target in build.xml.";
"Why use an ad-hoc script that's known (according Erik himself) to have false positive that require manual inspection (which is also not part of the version controlled source tree), when you we have a built-in (aspectj*.jars are already included as build/runtime dependencies) tool specifically for such tasks?";
"You can do this for info messages too for more performance when that is off.";
"There are no extra lines of code or maintenance; it is the simplest solution.";
"As long as the change is applied at build time, I don't see any real drawback.  ";
"Ah, ok ... thanks for the heads up.";
"There's a note on the main page about these scripts, but you're right: nothing obvious in some of hte ""sub pages""  I'll take a stab at clarifying.";
"Changes to the test look good, and your method for finding which are right/wrong is correct.";
"I would advise that a good thing to do once you have fixed this issue is to then perform a similar test modification for setting a valid value and using batching.";
"I've started to work towards support for visualising services and cascading configuration.";
"The changes in this patch aren't a complete solution but they're free-standing give basic service visualisation and shared configuration support.";
"I've introduced a decorator framework for relationships so we can draw the service triangles (or package names).";
"The service handling will need to be updated slightly once we're not working from the DummyInfoProvider.";
"Handling of services which aren't consumed and services which are consumed by multiple bundles is pretty weak.";
"I've also started to add cascading configuration.";
"I've added a Theme class and a ComponentAppearance class which takes defaults from the theme and allows them to be over-ridden.";
"ComponentAppearances will also inherit from one another when we have nested components (like a bundle inside an application).";
"I've only switched the ComponentColorElement (which was the ComponentColorProperty) over to use the new configuration so far, but I'll switch the other elements over to using the new configuration next.";
"In the new version, elements have two methods - render(), which draws them, and apply() which  initialises shared properties like colour.";
"This allows for a two-phase rendering.";
"Apply isn't the best name but we're already using update(), so suggestions welcome.";
":)  I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.";JOY
"I've also moved RelationshipElement to the elements namespace.";
"These are all svn file deletions which will need to be done by hand when applying the hand.";
"Applied patch";
"Looks like this is fixed :)";JOY
"Version 2.2.0RC3 is fine.";JOY
"Sounds like a good idea.";JOY
"Would anyone have time to put together a pull request?";
"Hi Preben,  I just applied the your patch with a minor modification on FtpConsumerWithCharsetTest.testConsumerWithCharset to use UTF_8 charset by default.";
"For the CAMEL-3787, I think the key should be on the ftp client configure to find out right charset that the server is using.";
"> MultipartEntity entity = new MultipartEntity(HttpMultipartMode.BROWSER_COMPATIBLE);   Use strict mode instead of browser compatibility.";
"936-2 wasn't patching correctly against the latest flume-728 so here's an updated patchfile now that 935 is available.";
"Tests pass, but there is some weirdness going on with rat failing on licenses because it tries to examine the surefire reports...";
"Thanks for supplying the patch.";
"I have applied it in Rev.";
"Please close this bug, if this is ok for you.";
"I showed my interest on this idea, in the dev-mailing list, and currently started to explore the requirements and a design. ";
"Applied Patch..";
"Thanks";
"OK, will open the issue with Solr/Lucene.";
"Many thanks for your help.";JOY
"This patch has been around for a while.";
"Does this applies to 0.22 trunk or 0.23 trunk?";
"Thanks.";
"I found the note in the manual about @Resource and that fixes it.";
"At this point I'd suggest  peppering the docs with references to @Resource wherever it discusses autowiring things or about collections.";
"E.g., ""note: if you're trying to auto wire a collection with annotations you'll need to use @Resource instead of @Autowired"".";
"patch committed in rev 942983, thanks!";
"I looked at all the TODO's in uimaj-core and found only one Sofa-related exception that needed update.";
"Fixed it's foot.";
"Patch applied.";
"Thank you!";JOY
"boisvert@sixtine:~/svn/buildr-trunk$ svn commit -m ""BUILDR-283: Misleading documentation on env.";
"variables (Alexis Midon)"" Sending        doc/settings_profiles.textile Transmitting file data .";
"Committed revision 816738. ";
"The attached patch fixes two problems:   * the first one which happen when the class is loaded from the boot classloader (in which case, we now use the system classloader to load the enclosing class)   * the second one which is the fact that all kind of linkage errors can happen when loading the class and this would really disturb the classloader correct behavior";
"Could you please verify and/or adapt your patch against the current version at http://svn.apache.org/repos/asf/commons/proper/jcs/branches/generics-interface I was not able to apply your patch there.";
"A potentially legitimate use case of a {{set}} without an {{apply}} is a builder class that should not be accessed until the building is complete, at which point the internal state will be accessed directly to produce the final result of some type.";
"Such a class does not really need an {{apply}} method.";
"However, as a tactical decision imposed by the implementation of the typechecker, we will require a matching {{apply}} method for every {{set}} method, and will reassess this issue later in the context of a possible typechecker redesign.";
"Pull request available here:  https://github.com/SpringSource/spring-roo/pull/8  The changes are minor.";
"I've tested them out and everything is fine.";JOY
"I discovered that it works fine with command line.";
"But it does not work when I try it using maven integration plugin for eclipse.";
"I have open a ticket on their side: http://jira.codehaus.org/browse/MNGECLIPSE-1054 ";
"I would rather not have specific vendor JDK names listed in there if can be avoided anyway.";
"Not sure when it was added.";
"worth investigating.";
"Committed to branch-2.1-beta, branch-2, and trunk.";
"Thanks for the patch Andr̩!";
"+1 the branch-1 patch looks good.";
"This reviewable, and I think also committable.";
"Thanks for the patch.";
"Committed to 0.8 after reverting the change in system_test/ (the consumer property file there is used for an 0.7 consumer).";
"Verified, patch applied as expected.";
"Dyre, thanks for your comments.";
"I have made a new patch, derby-2108-v4.diff, which have incorporated (most of) your commets.";
"I think I'm ready for commit soon.";
"I did a change to BULIDING.txt adding ${j14lib}/security.jar to java14compile.classpath in the description of how to build with IBM JDK.";
"I have not verified that it works and hope someone would confirm that it's correct.";
"Jacopo,  Thanks for diving in a pointing Scott at the appropriate screens.";
"David,  I completely agree that providing more intelligence in the PO creation process would be very helpful, especially for larger businesses.";
"I can just about cope with the amount of manual intervention required, but in the not too distant future I can see the need for some of the rules you suggest.";
"The idea of consolidating POs (or SOs, I guess) came mainly because I end up having multiple small POs for some of my suppliers.";
"However, I also run into the opposite problem.";
"For my larger suppliers, I will often have a 100 or more requirements built up.";
"Since the ""Approved Requirements"" screen paginates the requirements, I'll end up generating multiple orders for the same (large) supplier, simply because the application operates a page at a time.";
"This annoys my suppliers a bit.";
"I guess the obvious thing to do is to go in and reconfigure the pagination so it doesn't (paginate), but if we had the ability to add items to existing POs then you could still use the pagination mechanism and build up the PO page-by-page (quite handy if your working through  your POs during less busy times of the day).  ";
"This should have been fixed by commit 26a5b76ee6b77909a7b8d5b00924f12e1671373d.";
"Verified on my vmware setup, extract volume is working fine now.";
"I did that first, but then remembered that when I did that in the past, people were unable to apply my patches, w/o doing the svn move themselves.";
"Anyway, for this file it's not really important I think - a very simple and tiny file, w/ no history to preserve?";
"Is that ok for this file (b/c I have no idea how to do the svn move now ... after I've made all the changes already) :)";JOY
"Please keep this open until reverse tests are configured, as we might have new issues coming from them.";
"+1 on patch.";
"@Andrei: Please re-attach patch using --no-prefix option.";
"HadoopQA uses -p0 to apply patches.";
"Ok, got it, thanks for the explanation.";
"In any case, the code for the toBytes method is written now, so it should be a simple thing to move it to the PType implementation classes.";
"It would probably also be worth having optimized versions for primitive values, instead of writing them to an Avro/Writable first to get the bytes representation.";
"But yeah, that's for another JIRA.";
"An example patch.";
"Was unable to run the unit test I wrote (because my setup is being a jerk), but I'm more looking for input on the design.";
"Thanks for the reviews, committed the patch to trunk";
"Zdenek,  Thank you for working with these components.";
"I seem to be having trouble applying the patches, though, and I'd hate for all these corrections and improvements to be lost.";
"Do you think you could submit a new patch in a single file (perhaps named with the current date) based on the current SVN head ?";
"That would really help a lot.";
"Thanks once again.";JOY
"Rest of Ender's patch was applied.";
"It is good to know that pluto has a problem here, but I realy need servlets integrated pluto.";
"@Arnaud: My key looks exactly the same and was generated with Cygwin's ss-keygen.";
"The file has Unix line endings though ...  @Lukas: scpexe works for me with M2 despite the fact that it insists on a key even if an agent is running (WAGON-27).";
"bq. OK w/ the latest patch all tests pass for me! Great  Awesome! :)";JOY
"Do the same tests work fine on 1.5.0dev?";
"One of the things I changed in jnr-posix, was to make stat and fstat use stati64 and fstati64 respectively, instead of stat64 and fstat - the last may be why its breaking with jna-posix.";
"Look in WindowsLibCFunctionMapper.java for the fstat mapping - it may all magically work if you change fstat to map to _fstat64 (note: no 'i' in the name - uses stat64 struct instead of stati64 ... they have different sized atime, ctime, mtime fields).";
"Otherwise, the WindowsFileStat structure looks ok, apart from the st_blocks and st_blksize fields at the end, which are not part of the windows stat64 struct, so will probably be filled with either zero, or garbage.  ";
"Awesome. Thats great to hear!";
"{quote}  Hmm, looks like the backport blew away scrubtest on 1.2 as well.";
"Great! Awesome!  thanks, Dims";JOY
"Oversight?";
"{quote} Yes, was an oversight.";
"Just for clarification, skipBloomFilters is old.";
"#1 and #2 are incorrect.";
"Great! Awesome work, Nick, and thanks for the clarification, Bill. ";JOY
"1: The skipBloomFilters gets called on the index file in RowIndexEntry line 104.";
"2: In 2.0, the skipBloomFilters will be called on a 1.2 sstable; also, the skipBloomFilters currently is called against any sstable when scrubbing.";
"Great work...this is awesome stuff. ";JOY
"I made a preliminary patch to share the idea how this can be fixed.";
"- This fix works if I run a ""mahout"" from command line against a Hadoop cluster.";
"A unit test case doesn't work; -Dkey=value is not parsed in ToolRunner but passed through to SparseVectorsFromSequenceFiles, resulting in a parse error.";
"Did I make any mistake?";
"Maybe because a JUnit doesn't really mimic a real hadoop env?";
"great. awesome job sergey!";JOY
"Awesome - great stuff Maria.  Thanks!";JOY
"#NAME?";
"IMHO, Configuration should be the first or the the last arguments.";
"Thanks for doing that Uma.";JOY
"It looks like there is something about the build scripts that is causing it, because hdfs.proto, where NameSpaceInfoProto is defined, is more or less identical between trunk and branch-2.";
"Wow!";JOY
"Looking forward to using it.";
"I just committed this.";
"Thanks Bryan!";JOY
"Please submit new issues for the other aspects of this that remain unfixed.";
"+1  Patch looks nice.";
"Probably worth adding a third case in testDataDirectories for a URI that includes an authority (file://localhost/path).";
"Patch looks good to me.";JOY
"I've committed this.";
"Thanks, Jeff!";JOY
"Resolving as fixed.";
"It is good to have the test.";JOY
"I ran it on current trunk.";
"It successfully gets the expected exception, but then fails to close FSNamesystem with NPE.";
"So yes it fails but not where you wanted it to.";
"Please open using the JIra workflow and fill in the details.";
"we improved hash handling in Railo, but we get not the same result with non ascii characters as ACF (with ascii characters everything is fine).";
"we cannot find a problem in our implementation anymore, perhaps there is a problem in he ACF implementation that force a other resultat. ";
"This looks like it might be a blocker for release.";
"I didn't see anything in subversion?";
"new version of 01 ""minifies"" type classnames for the standard o.a.c.db.marshal types";
"Ok, thanks.";
"Fixed in r1146573";
"Hi Christian, Jacopo,  Not sure if adding ""-Duser.language=en"" is the better way to go, sounds like a camouflage to me.";
"I just committed this.";
"Thanks, Owen!";JOY
"Closing issue as per Luis.";
"Added support for the QueryElevationComponent and test case.";
"Or do we act like we always had it?";
"Thanks for the feedback and thanks for taking a stab at this.";
"won't fix.";
"Hi Robbie,  Please could you review this patch?";
"cheers Keith.";
"<danielsh> dns done (thanks for the hostname), tb build underway ";
"Committed to trunk.";
"Marco,  I've fixed some minor issues in your patch (including the one you have pointed out) and I've committed it.";
"Thanks!";JOY
"Hi Guys,  I am pretty new to this site.";
"I am wondering when this patch can be accepted?";
"Thanks,  Kevin";
"Applied the patch into trunk.";
"I just committed this.";
"Thanks, Dhruba!";JOY
"Violated again in r960471.";
" I'll take a look at this for the next release (after 1.5.11).";
"Committed to trunk (0.12).";
"Thanks Viraj and Cheolsoo.";
"[~maysamyabandeh] Got time to look at this today.";
"There are tests in Mahout-integration that are using DummyRecordWriter  -  TestConcatenateVectorsJob and RegexMapperTest, and are failing with this patch.";
"I'll take a stab at this again but could you verify this patch against the present trunk?";
"patch applied.";
"Thanks!";
"How about a slightly different take?";
"Please take a look at the patch and let me know if it fixes the problem for you.";
"Vadim you're keeping us busy :).";
"Patch applied with thanks!";JOY
"Hello, I see Uwe has commented on SOLR-1657 that he would help convert tokenstreams to the new api, but he needs this patch (the tests) applied first.";
"Is it possible for someone to take a look at this patch to get things moving along?";
"its only tests, no source code changes.";
"Leo, thanks for the patch - applied at r488522. ";
"Looks quite perfect after solving PDFBOX-490.";JOY
"I did translate some Labels to german language.";
"fPIC rings a bell on amd64.";
"What are the disadvantages to adding -fPIC (a) for amd64 only, (b) for all platforms?";
"This is fixed in V2 and an automated regression case has been created.";
"Closing";
"Thanks Sanjay for the review.";
"I have committed this.";
"(My 0.8 checkout was on the 0.8.6 tag when I reported that CliTest worked completely.)";
"I committed this.";
"Thanks, Ashish!";JOY
"Patch checked in.";
"Many thanks, Neeme.";JOY
"Thanks for the patch.";
"It has been applied to the trunk.";
"I'll commit this soon unless there are objections.";
"Thanks for the patch Glen.";
"I'm gonna review it and apply.";
"Can this be closed Martijn?";
"Thanks for the help BJ!";JOY
"Committed to trunk 1384014";
"thanks Tomas!";JOY
"Resolved, fixed!";
"Thanks!";JOY
"Please review this for me!";
"Thanks!";
"This is not a Camel issue but a CXF.";
"committed.";
"(looks like these were introduced in CASSANDRA-1714, fwiw, so i'm going to tag affects-version to 0.7.1)";
"Released with GEP 221, so I close this JIRA.";
"Untar this to populate the position_hints table.";
"Applied patch with thanks to Scott.";JOY
"Change the summary to match the real issue.";
"You are absolutely right.";
"There must be some side effect in my project that circumvented this problem until 6.8.0.";
"Sigh ....  Do you think that is something that can be fixed in Wicket or some kind of IE8 madness that i should look to solve on my side?";
"Edison can you check on this issue looks like the fix is not working";
"Committed with rv800094";
"Patch for aggressive GC test";
"Enjoy!";JOY
"thanks to Ernst Fastl for adding this.";JOY
"OK to close?";
"Oracle 7u40 runs just fine on Debian, I can't imagine it wouldn't work on Ubuntu.";
"Tested with both JBoss EAP 5.x and Geronimo 2.2.x";
"Fixed in 426832.";
"you seem knowledgeable, what not submit a patch.";
"Applied to trunk.";
"Thanks for the patch Mubarak.";JOY
"I just committed this.";
"Thanks, Jothi!";
"I've just committed this.";
"Thanks Koji!";JOY
"resolved in r950171";
"If possible can you make sure the patch is checkstyle compliant?";
"Resolved in 1.0.1-SNAPSHOT.";
"Long Life MyFacesssssssssss!";JOY
"Looks good, thanks Laura!";JOY
"Committed to trunk with revision 447502.";
"Will leave open until merged to 10.2";
"Committed to 3.4.6 and trunk.";
"Thanks Ashish!";JOY
"Thank you, guys!";JOY
"Thanks Ashutosh and Gunther for your help!";JOY
"This patch has been improved a lot.";
"I really appreciate your comments and I really enjoy our discussions:)";JOY
"What classes were changed for this fix?";
"Would like to pick up this fix with the stable release if possible.";
"My testing turns up not issues, so , once again, thanks for finding this Rick, I'd gone blind to the problem and it was driving me mad!";
"Enis/Ashutosh, we can try coming up with the testcase.";
"But, in the meanwhile, can I upload a patch which reverts this ?";
"dead branch, no sure which code generator it's talking about";
"Awesome work: this is a great first cut! ";JOY
"Patch is committed to trunk.";
"Thanks to Edward and Brock for the reviews.";JOY
"Btw, I only get this error in LDAP Studio.";
"Not in LDAP Browser 2.8.2 or MS AD Explorer.";
"Thanks.";
"Looks good.";JOY
"TestSkewedJoin finishes when you give it enough time (a mere 49 minutes) and the other tests I ran passed as well.";
"Milinda, patch applied !";
"Zhenxiao I left comments on Phabricator.";
"Hi Sergey, thanks for the patch.";
"But why have you added testPropertyChangePropertyChangeEvent test?";
"Or at least has some relation to above problem?";
"I will revert tomorrow if less-hacky alternative suggested above continues unaddressed.";
"Your explanation sounds reasonable and  the patch looks safe to me.";
"+1 for the patch.";
"Thank you, Ivan!";JOY
"After talking with Steve B. we decided that the DAS should insist that datagraph root is passed to the ApplyChanges command.";
"An error is now thrown if this is not the case.";
"The fix for test_no_extension was merged in PIG-2505.";
"So this is ready for merging?";
":D";JOY
"This is now resolved in ActiveMQ 4.0 as we have a DemandBasedForwardingBridge which only forwards messages to another broker when there is a consumer for it";
"Jacques,  Why concatenate the patches?";
"Thanks guys,  Bharat your patch is in trunk at revision: 754834 .";
"I only review as Pranay tested successfully.";
"Thanks to both of you, and to Deepesh for the initiative. ";JOY
"Should we close this one now that we went a different route (zero javadoc warnings?)";
"Thanks for the clarification.";
"Cool.";JOY
"Sounds like a good idea. ";JOY
"Cool, that's all good news too! Thanks guys. One less on my radar.";JOY
"cool man it looks good. we need a changes entry but from my side this looks good. we can tackle the todos on trunk";JOY
"Looks pretty cool. Fresh and minimalist. Love it :-) Good work.";JOY
"Cool, will do!  Thanks for the review and good questions... and the whole idea! :)";JOY
"This looks good to me.";JOY
" Automatic location selection is very cool.";JOY
